Type,Year,Age,High,m
2,2020,42,13.2,3.79734
2,2020,42,13.2,3.81535
2,2020,42,13.2,3.82299
2,2020,42,13.2,3.89716
33,2020,20,0,0.767893
33,2020,20,0,0.767819
2,2020,42,12,1.31154
2,2020,42,12,1.3343
2,2020,42,12,1.3698
2,2020,42,12,1.39641
2,2020,47,12,1.43227
2,2020,42,12,1.36986
2,2020,47,12,1.60394
2,2020,42,12,1.36974
2,2020,47,12,1.58333
2,2020,47,12,1.60379
2,2020,37,13.8,2.74978
2,2020,37,13.8,2.7086
2,2020,47,12,1.57849
2,2020,42,15.8,3.30222
2,2020,42,15.8,3.31505
2,2020,42,15.8,3.22717
2,2020,42,15.8,3.23837
2,2020,42,15.8,3.25123
2,2020,43,10.2,2.10793
2,2020,43,10.2,2.13763
2,2020,43,10.2,2.193
2,2020,43,10.2,2.20979
2,2020,43,10.2,2.23153
2,2020,43,10.2,2.09875
2,2020,43,10.2,2.12856
2,2020,43,10.2,2.08948
2,2020,43,10.2,2.11938
2,2020,43,10.2,2.07747
2,2020,43,10.2,2.10541
2,2020,43,10.2,2.07278
2,2020,43,10.2,2.10269
2,2020,47,11.6,1.23788
