Type,Year,Age,Height,m
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
2,2019,44,14.3,3
33,2019,24,15.7,11
33,2019,47,15.7,11
33,2019,47,15.7,11
33,2019,47,15.7,11
33,2019,47,15.7,11
2,2019,47,15.7,11
33,2019,47,15.7,11
2,2019,47,15.7,11
33,2019,47,15.7,11
2,2019,0,13.5,3
2,2019,0,13.5,3
2,2019,0,13.5,3
2,2019,0,13.5,3
33,2019,17,12.4,3
33,2019,17,15.9,3
33,2019,17,15.9,3
33,2019,17,15.9,3
33,2019,17,15.9,3
33,2019,44,15.9,3
0,2019,45,15,3
0,2019,45,15,3
33,2019,24,12.1,3
33,2019,24,12.1,3
0,2019,41,7.9,3
0,2019,41,7.9,3
0,2019,41,7.9,3
0,2019,41,7.9,3
0,2019,41,7.9,3
0,2019,41,7.9,3
